image_path,label
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\16_0_0_20170110231726179.jpg,3
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\7890646@N03\landmark_aligned_face.1390.10195476236_d8dc4e6428_o.jpg,2
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\115111634@N07\landmark_aligned_face.1117.12115213445_a054144d4c_o.jpg,1
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\114978798@N03\landmark_aligned_face.823.12081923593_838249fb93_o.jpg,4
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\1_1_3_20161219225050632.jpg,0
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\9017386@N06\landmark_aligned_face.208.11094526674_d9a4f09e3c_o.jpg,0
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\30601258@N03\landmark_aligned_face.2.11833885123_4d40c87906_o.jpg,4
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\49_0_0_20170117135230645.jpg,6
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\20_1_0_20170117141358391.jpg,3
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\7890646@N03\landmark_aligned_face.1388.11079625265_62ed2dbaf5_o.jpg,1
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\50_0_3_20170117144239634.jpg,6
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\5_0_2_20161219140923888.jpg,1
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\113445054@N07\landmark_aligned_face.1325.11764623606_fc2ee17bac_o.jpg,4
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\52_0_0_20170117161040990.jpg,6
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\29671106@N00\landmark_aligned_face.191.11192923554_ea513f931a_o.jpg,2
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\86629393@N00\landmark_aligned_face.1795.11689317494_b52eebede1_o.jpg,5
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\9965452@N08\landmark_aligned_face.979.11242689256_0a7d00bfbe_o.jpg,4
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\113528649@N08\landmark_aligned_face.333.11760831236_5c4193159a_o.jpg,2
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\77_0_0_20170109015126245.jpg,7
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\18_1_1_20170113005132350.jpg,3
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\114918674@N02\landmark_aligned_face.1523.12039128694_15e729da0d_o.jpg,2
