image_path,label
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\20632896@N03\landmark_aligned_face.557.9830115816_a1eb293484_o.jpg,1
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\10897942@N03\landmark_aligned_face.636.8402666065_4c7bb2092a_o.jpg,1
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\2_0_0_20170110213234033.jpg,0
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\26_0_3_20170119184204318.jpg,0
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\32_1_3_20170116153431215.jpg,1
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\111700049@N08\landmark_aligned_face.1547.11833106974_25c8161bcd_o.jpg,1
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\45_1_0_20170117174646542.jpg,1
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\34_0_1_20170116003530809.jpg,0
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\35_1_1_20170117154230213.jpg,1
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\50739822@N00\landmark_aligned_face.1364.8235732464_8309da3e26_o.jpg,0
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\26_1_4_20170117152921443.jpg,1
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\30_1_0_20170117181402899.jpg,1
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\52_0_0_20170119205643521.jpg,0
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\31040257@N06\landmark_aligned_face.357.11855915816_f38e780450_o.jpg,0
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\10044155@N06\landmark_aligned_face.140.11331401403_bb5944aa2d_o.jpg,0
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\55_1_0_20170117190736258.jpg,1
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\24_1_2_20170105184025097.jpg,1
C:\Users\fkoca\Desktop\thalespy\datasets\UTKFace\5_1_0_20170109193659649.jpg,1
C:\Users\fkoca\Desktop\thalespy\datasets\adience\aligned\50739822@N00\landmark_aligned_face.1366.8155668723_07495fe87e_o.jpg,1
